round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Madhav Gopal Kamath,361,595,-595,https://www.youtube.com/watch?v=p8WOJEATu6k&pp=0gcJCR4LAYcqIYzv,https://woogles.io/anno/SSxZnmWtM6dSzqwwC553HR
1,L,Madhav Gopal Kamath,361,595,-595,,https://woogles.io/anno/SSxZnmWtM6dSzqwwC553HR
2,L,Natalie Zolty,469,526,-526,,https://woogles.io/anno/JvH9Z2NGJ74f6jL3BVpfVi
3,W,Ben Schoenbrun,460,453,-453,,
4,L,Edward Okulicz,402,465,-465,,
5,L,Siddharth Nithyanand,437,460,-460,,
6,W,Samson Okosagah,496,418,-418,,
7,W,Apirat Choomai,495,415,-415,,
8,W,Waseem Khatri,420,323,-323,,
9,W,Jakkrit Klaphajone,442,429,-429,,
10,W,David Webb,400,489,-489,,
11,W,Akegapun Erbprasartsook,411,399,-399,,
12,W,Natalie Zolty 2,464,310,-310,,
13,W,Jakkrit Klaphajone 2,443,385,-385,,
14,W,Chaiyottha Manachaisit,480,368,-368,,
15,L,Thacha Koowirat,410,516,-516,,
16,W,Nigel Richards,486,387,-387,,
17,L,Piotr Andronowski,356,513,-513,,
18,W,Puttapong Moonsarn,543,334,-334,,
19,W,Russell Honeybun,471,392,-392,,
20,W,Weibin Toh,458,353,-353,,
21,W,Thacha Koowirat 2,611,417,-417,,http://woogles.io/anno/Nf9Ce9aCWneH8oTTkfG42C
22,W,Komol Panyasophonlert,469,403,-403,,http://woogles.io/anno/ECGgTtm6injHVxEKEToZ83
23,L,Chaiyottha Manachaisit 2,338,423,-423,,http://woogles.io/anno/5He4JvGwivJmXibKX3nGRX
24,L,Jason Keller,421,461,-461,https://www.youtube.com/watch?v=p8WOJEATu6k&pp=0gcJCR4LAYcqIYzv,http://woogles.io/anno/kXZ63GDYU3UTw6qjVkQvx6
25,L,Darren Khoo,288,537,-537,,http://woogles.io/anno/9zkoitBwkTrbrwJEuSN2eo
26,L,Joshua Castellano,424,487,-487,,http://woogles.io/anno/aggykBsruSbKTYP6EKKauq
27,W,Panupol Sujjayakorn,515,392,-392,,http://woogles.io/anno/R45KCF4jGcX6ExzN7Dj6cc
28,W,Ming Hui Hubert Wee,335,590,-590,,
30,W,Piotr Andronowski 2,435,339,-339,,
31,L,Samson Okosagah 2,407,508,-508,,
32,W,Sherwin Rodrigues,534,434,-434,,
33,W,Josh Watt,677,305,-305,,
34,W,Samson Okosagah 3,474,468,-468,,
35,L,Ben Schoenbrun 2,443,538,-538,,
36,L,Samson Okosagah 4,359,526,-526,,
