round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,W,Apirat Choomai,418,370,+100,https://youtu.be/lq4d9vnoXPI?si=24IrDvs542Jeu4qc,https://woogles.io/anno/gzfZV6QoEJBPocL6ybnrqB
1,W,Unknown,,,+100,,
2,W,Apirat Choomai,418,370,-370,,
3,W,Ishika Shivalingaiah,559,364,-364,,
4,W,Unknown,465,443,-443,https://youtu.be/lq4d9vnoXPI?si=24IrDvs542Jeu4qc,https://woogles.io/anno/gzfZV6QoEJBPocL6ybnrqB
5,W,Thomson Law,512,420,-420,https://youtu.be/Yaw_fTHhOJo?si=R_-YghRGw-xotqcf,https://woogles.io/anno/2492JHSutTUnTMWNSYdLRg
6,W,Alexander Gozali,486,452,-452,https://youtu.be/VpmDWBPsx4M?si=hFOQtloV491UzzOQ,https://woogles.io/anno/GHkzCq2KHgkNTeKgtCENPc
7,L,Napat Vatjaranurathorn,437,458,-458,https://youtu.be/UB1BVTx1pg0?si=fjcLwx-yufbMD57J,https://woogles.io/anno/UH2rbxHGJYLiFXVnkWDf8s
8,L,Puttapong Moonsarn,452,495,-495,https://youtu.be/UzILbeuEPdU?si=n2ejMKmGfKFBELaG,https://woogles.io/anno/CQZoVcLHusxvtTXUNTeNDE
9,W,Dave Wiegand,445,443,-443,https://youtu.be/AfqogaWpFeg?si=56Zp-RR-l01I-jcb,https://woogles.io/anno/VXEkXXkVhy3Vw2hptvFTeL
10,L,Andrew Fisher,322,366,-366,https://youtu.be/3Yj0AjzYAuI?si=VeVu8386ZVHSnJ0g,https://woogles.io/anno/Q4AuZ5xKhESXTPXVqP24i2
11,L,Ben Schoenbrun,395,482,-482,https://www.youtube.com/watch?v=6eJ7Pe-ZILE,https://woogles.io/anno/Z5RA72sp7MsEep3xfC9mU9
12,L,Jason Keller,324,482,-482,,https://woogles.io/anno/9pMJ3M8phPwjrbxtSeAFi2
13,W,Joshua Castellano,455,430,-430,,
14,W,Alexander Gozali 2,506,413,-413,,
15,L,Andrew Fisher 2,437,439,-439,,http://woogles.io/anno/EcPEHw59n6K9PHXv2ebeyy
16,W,Weibin Toh,381,379,-379,,http://woogles.io/anno/Fux7MNoiMMB4oc9B5ds9Qx
17,W,Rik Kennedy,491,377,-377,,
18,L,Chaiyottha Manachaisit,480,487,-487,,http://woogles.io/anno/UdHdzwDiksvcqyiuS72KTz
19,L,Komol Panyasophonlert,393,540,-540,,http://woogles.io/anno/ii3tZfwjzdFBb6p9zfjKzT
20,L,Panupol Sujjayakorn,387,439,-439,,http://woogles.io/anno/7LLSmgZuVK4XG4bLFvHb54
21,W,Kian Boon Liew,509,347,-347,,
22,W,Unknown,478,343,-343,,
23,W,CharnwitS Sukhumrattanaporn,461,425,-425,,
24,L,Nigel Richards,433,434,-434,,
25,W,Irfan Siddiqui,419,381,-381,,
26,W,Alexander Gozali 3,545,442,-442,,
27,W,Harshan Lamabadusuriya,474,440,-440,,http://woogles.io/anno/LhzyE3HtorSc5h543AirLh
28,L,Akshay Bhandarkar,465,477,-477,,http://woogles.io/anno/fzAPMcdGwLThHqMAcDZB7D
29,L,Aditya Iyengar,352,481,-481,,http://woogles.io/anno/GcsaJGSTrTpQMNNMWBuufb
30,L,Andrew Fisher 3,359,446,-446,,http://woogles.io/anno/S8wiFZ24MAea3Dt6JcQtNd
31,L,Nuti Suri,399,409,-409,,
32,L,Komol Panyasophonlert 2,311,513,-513,,
33,L,Udayan Grover,380,483,-483,,
34,W,Jakkrit Klaphajone,429,346,-346,,
35,W,Weibin Toh 2,394,464,-464,,
36,L,Rasheed Balogun,372,459,-459,,
