round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Chock Heng Kong,389,449,-449,https://www.youtube.com/watch?v=6eJ7Pe-ZILE,https://woogles.io/anno/NDzM7k9Znez83yc253kgUs
1,L,Chock Heng Kong,389,449,-449,,
2,W,Ryan Wee,397,491,-491,,
3,L,Brian Po,453,460,-460,,
4,W,Orlet Bullock,381,367,-367,,
5,W,Unknown,,,+100,,
6,W,Waseem Khatri,575,351,-351,,
7,W,William Kang,560,322,-322,,
8,W,Sujana Somasekar,497,467,-467,,
9,W,Weibin Toh,484,418,-418,,
10,W,Panupol Sujjayakorn,484,347,-347,,https://woogles.io/anno/NDzM7k9Znez83yc253kgUs
11,W,Cameron Farlow,482,395,-395,https://www.youtube.com/watch?v=6eJ7Pe-ZILE,https://woogles.io/anno/Z5RA72sp7MsEep3xfC9mU9
12,W,Ricky Purnomo,508,355,-355,https://www.youtube.com/watch?v=8JExKVviX8g,https://woogles.io/anno/2PHwgb9qG9wZ2zWTE7cipt
13,W,Josh Watt,422,410,-410,https://www.youtube.com/watch?v=Oz2ZOYJbsP4,http://woogles.io/anno/JUknFyU6tjxgzbqRdn2Q2X
14,W,Napat Vatjaranurathorn,411,353,-353,https://www.youtube.com/watch?v=pq7A7ck-Eew,http://woogles.io/anno/bySqCJJ9Vj8kRWD6ovZd6G
15,W,Dave Wiegand,412,436,-436,https://www.youtube.com/watch?v=07nfP9h3y0M,http://woogles.io/anno/L6DWLHP8STntQmr4WdVPHZ
16,L,Jason Keller,367,450,-450,https://www.youtube.com/watch?v=HlmKnByfOOk,http://woogles.io/anno/iiTJHuy7uasgvhHy84CMsR
17,L,Darren Khoo,373,381,-381,https://www.youtube.com/watch?v=m8ukOmFVaF0,http://woogles.io/anno/m2BoMHLF5GbkhneJva3BKh
18,L,Madhav Gopal Kamath,408,435,-435,https://www.youtube.com/watch?v=1ljlp90DjWw,http://woogles.io/anno/boiamXrSe8XnTnyUeyvjv8
19,L,Akshay Bhandarkar,366,451,-451,,http://woogles.io/anno/cjUbfLWRsY3KYcUdoh9FSE
20,W,Soramet Mettaviharee,395,392,-392,,http://woogles.io/anno/AobrAokugyhZPaNMQ8quLe
21,L,Nigel Richards,456,558,-558,,http://woogles.io/anno/REhmx5CPPoW4TPjreFBj5Z
22,W,Weibin Toh 2,384,456,-456,,http://woogles.io/anno/SdVEkQCtRUSQTV9hHLWeGx
23,W,Soramet Mettaviharee 2,582,389,-389,,
24,W,Jakkrit Klaphajone,478,443,-443,,
25,L,Napat Vatjaranurathorn 2,333,501,-501,,http://woogles.io/anno/7Ym32SYY87zvrQwhBtWfio
26,L,Ricky Purnomo 2,385,490,-490,,http://woogles.io/anno/MkddgWWM3RDUvsWGcXDZXt
27,W,Nuti Suri,457,391,-391,,
28,W,Irfan Siddiqui,504,384,-384,,
29,W,Josh Watt 2,530,225,-225,,
30,W,Kian Boon Liew,493,373,-373,,http://woogles.io/anno/AhD3XTPLtv6pYfCVFpXJ6W
31,L,Harshan Lamabadusuriya,348,495,-495,,
32,W,Josh Watt 3,540,328,-328,,
33,L,Panupol Sujjayakorn 2,366,548,-548,,
34,W,Akshay Bhandarkar 2,426,364,-364,,
35,W,Brian Po 2,538,443,-443,,
36,L,Nigel Richards 2,453,472,-472,,
