round,result,opponent,player_score,opponent_score,spread,youtube_link,woogles_annotation
1,L,Komol Panyasophonlert,395,422,-27,https://www.youtube.com/watch?v=N-hSJPA02S0,https://woogles.io/anno/GigBovdt4uENP9zdYSZ4xY
1,L,Komol Panyasophonlert,395,422,-27,,https://woogles.io/anno/GigBovdt4uENP9zdYSZ4xY
2,W,Austin Shin,460,448,12,,
3,W,Ezinore George,480,435,45,,
4,W,Norases Vesdapunt,445,352,93,,
5,L,Puttapong Moonsarn,358,390,-32,,
6,W,Akshay Bhandarkar,544,512,32,,https://woogles.io/anno/NJrHuYKToFm4yxDXdbXVyK
7,W,Piotr Andronowski,447,405,42,,
8,L,Alexander Gozali,310,458,-148,,https://woogles.io/anno/NhdG37ki7ke95vRBZ29X8e
9,W,Thacha Koowirat,459,380,79,,https://woogles.io/anno/JLhyNWwAZAmc4vkHoWedYd
10,L,Ricky Purnomo,359,490,-131,,
11,W,Piotr Andronowski 2,491,346,145,,
12,L,Thacha Koowirat 2,415,420,-5,,
13,L,Cameron Farlow,430,455,-25,,
14,W,Jesse Day,556,343,213,,
15,W,Ming Hui Hubert Wee,455,447,8,,
16,W,Unknown,532,410,122,,
17,W,Irfan Siddiqui,543,408,135,,
18,L,Akshay Bhandarkar 2,408,416,-8,,http://woogles.io/anno/5GpR3xBEnhcYFxmmNPJPbC
19,W,David Eldar,499,324,175,,http://woogles.io/anno/VdnW3BsorEwKJRXmDj4MGW
20,L,Komol Panyasophonlert 2,370,493,-123,,http://woogles.io/anno/f6v7MtTrjKeL3xanH9c3LC
21,W,CharnwitS Sukhumrattanaporn,487,428,59,,
22,W,Josh Watt,439,421,18,,
23,L,Irfan Siddiqui 2,400,413,-13,,http://woogles.io/anno/H2Sii2FNGkdGUD5PxSRNBb
24,W,Andrew Fisher,520,335,185,,http://woogles.io/anno/JjsgFf778D3HbXKY5F9qtj
25,W,Aditya Iyengar,419,416,3,,http://woogles.io/anno/RsaDBEHoJPKy8HM7BrJp93
26,W,Brian Po,487,424,63,,http://woogles.io/anno/aggykBsruSbKTYP6EKKauq
27,W,Chaiyottha Manachaisit,542,423,119,https://www.youtube.com/watch?v=N-hSJPA02S0,http://woogles.io/anno/RSDKxXhArubw6mPna4BnU7
28,W,Madhav Gopal Kamath,413,307,106,https://www.youtube.com/watch?v=grwI2GE8xnA,http://woogles.io/anno/gchopczLa55neadW2deLg7
29,W,Dave Wiegand,491,381,110,https://www.youtube.com/watch?v=saXKDOoT2fg,http://woogles.io/anno/2S9queP6yUPVqciX2JMbpN
30,L,Jason Keller,403,449,-46,https://www.youtube.com/watch?v=LTz0LeYA8X8,http://woogles.io/anno/hdg3Ka7zjwfxP74RfkpRiK
31,L,David Eldar 2,442,531,-89,,
32,W,Jason Keller 2,498,350,148,,
33,W,Dave Wiegand 2,470,458,12,,
34,L,David Eldar 3,391,569,-178,,
35,W,Thacha Koowirat 3,397,358,39,,
36,W,Dave Wiegand 3,467,437,30,,
